Name,Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS/G,G/MaxG,MP_sq,PTS_sq,Market_Val,Current_Sal
isaiahstewart,Isaiah Stewart,520,C,20,DET,71,71,25.6,3.5,6.9,0.51,0.2,0.6,0.326,3.3,6.3,0.529,0.526,1.0,1.5,0.718,3.2,5.5,8.7,1.2,0.3,1.1,1.2,3.0,8.3,1.0,0.8658536585365854,655.3600000000001,68.89000000000001,7.924671663348077,3.27708
maxstrus,Max Strus,521,SF,25,MIA,68,16,23.3,3.7,8.3,0.441,2.7,6.5,0.41,1.0,1.8,0.557,0.602,0.6,0.8,0.792,0.4,2.6,3.0,1.4,0.4,0.2,0.8,1.7,10.6,0.23529411764705882,0.8292682926829268,542.89,112.36,7.642336236489352,1.669178
jalensuggs,Jalen Suggs,522,PG,20,ORL,48,45,27.2,4.1,11.4,0.361,0.9,4.1,0.214,3.3,7.3,0.443,0.4,2.6,3.4,0.773,0.5,3.0,3.6,4.4,1.2,0.4,3.0,3.0,11.8,0.9375,0.5853658536585366,739.8399999999999,139.24,7.89716280274079,6.59304
craigsword,Craig Sword,523,SG,28,WAS,3,0,6.3,1.0,1.3,0.75,0.0,0.3,0.0,1.0,1.0,1.0,0.75,0.0,0.0,0.765,0.0,0.0,0.0,0.3,1.3,0.0,0.3,2.3,2.0,0.0,0.036585365853658534,39.69,4.0,2.6376678418665405,
keifersykes,Keifer Sykes,524,PG,28,IND,32,11,17.7,2.2,5.9,0.363,0.8,2.8,0.3,1.3,3.1,0.42,0.434,0.5,0.5,0.882,0.3,1.2,1.4,1.9,0.4,0.1,1.0,1.6,5.6,0.34375,0.3902439024390244,313.28999999999996,31.359999999999996,2.361809175061663,
jaeseantate,Jae'Sean Tate,525,PF,26,HOU,78,77,26.4,4.7,9.3,0.498,0.8,2.6,0.312,3.8,6.8,0.569,0.541,1.7,2.4,0.707,1.7,3.7,5.4,2.8,0.9,0.5,1.8,3.7,11.8,0.9871794871794872,0.9512195121951219,696.9599999999999,139.24,10.609159045763437,1.517981
jaysontatum,Jayson Tatum,526,SF,23,BOS,76,76,35.9,9.3,20.6,0.453,3.0,8.6,0.353,6.3,12.0,0.524,0.526,5.3,6.2,0.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,2.3,26.9,1.0,0.926829268292683,1288.81,723.6099999999999,38.34903618106283,28.10355
terrytaylor,Terry Taylor,527,PF,22,IND,33,7,21.6,4.1,6.7,0.614,0.4,1.2,0.316,3.7,5.5,0.676,0.641,1.1,1.5,0.706,2.9,2.3,5.2,1.2,0.4,0.2,0.7,1.8,9.6,0.21212121212121213,0.4024390243902439,466.56000000000006,92.16,4.907111003845909,
garretttemple,Garrett Temple,528,SG,35,NOP,59,16,18.6,1.9,5.0,0.376,1.0,3.1,0.319,0.9,1.9,0.473,0.476,0.5,0.7,0.683,0.5,1.9,2.4,1.3,0.7,0.4,0.7,1.4,5.2,0.2711864406779661,0.7195121951219512,345.96000000000004,27.040000000000003,3.6163471161825003,4.91
emanuelterry,Emanuel Terry,529,PF,25,PHO,3,0,6.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.765,2.7,2.3,5.0,0.7,0.3,0.0,1.7,1.3,0.0,0.0,0.036585365853658534,36.0,0.0,1.2581232080716651,
tyrellterry,Tyrell Terry,530,PG,21,MEM,2,0,1.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.024390243902439025,2.25,1.0,5.546695564569526,
jonteske,Jon Teske,531,C,24,MEM,3,0,2.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.7,0.7,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.036585365853658534,7.290000000000001,0.0,5.6856129076022865,
danieltheis,Daniel Theis,532,C,29,TOT,47,27,20.8,3.2,6.2,0.519,0.7,2.3,0.308,2.5,3.9,0.641,0.576,1.0,1.5,0.681,1.3,3.6,4.9,0.9,0.4,0.7,1.0,2.4,8.2,0.574468085106383,0.573170731707317,432.64000000000004,67.24,4.1275584809264,8.372093
danieltheis,Daniel Theis,532,C,29,HOU,26,21,22.5,3.2,6.9,0.469,0.9,3.0,0.291,2.3,3.8,0.61,0.534,1.0,1.5,0.675,1.2,3.8,5.0,0.8,0.4,0.7,1.2,2.4,8.4,0.8076923076923077,0.3170731707317073,506.25,70.56,3.491150157025628,8.372093
danieltheis,Daniel Theis,532,C,29,BOS,21,6,18.7,3.2,5.3,0.598,0.5,1.3,0.357,2.7,4.0,0.679,0.643,1.0,1.5,0.688,1.3,3.4,4.7,1.0,0.4,0.7,0.7,2.3,7.9,0.2857142857142857,0.25609756097560976,349.69,62.410000000000004,2.6676044801830994,8.372093
brodricthomas,Brodric Thomas,533,SG,25,BOS,12,0,5.0,0.7,1.5,0.444,0.2,0.8,0.222,0.5,0.8,0.667,0.5,0.3,0.4,0.6,0.2,0.7,0.8,0.9,0.1,0.1,0.5,0.6,1.8,0.0,0.14634146341463414,25.0,3.24,3.211898884532845,
camthomas,Cam Thomas,534,SG,20,BRK,67,2,17.6,3.3,7.5,0.433,0.7,2.6,0.27,2.6,4.9,0.52,0.48,1.3,1.6,0.829,0.2,2.2,2.4,1.2,0.5,0.1,0.8,1.0,8.5,0.029850746268656716,0.8170731707317073,309.76000000000005,72.25,4.158058648592398,
isaiahthomas,Isaiah Thomas,535,PG,32,TOT,22,1,15.1,3.0,7.6,0.401,1.3,3.8,0.337,1.8,3.8,0.464,0.485,1.0,1.2,0.846,0.2,1.1,1.3,1.5,0.3,0.2,0.7,1.5,8.4,0.045454545454545456,0.2682926829268293,228.01,70.56,2.666063097894902,
isaiahthomas,Isaiah Thomas,535,PG,32,LAL,4,1,25.3,3.0,9.8,0.308,1.3,5.5,0.227,1.8,4.3,0.412,0.372,2.0,2.8,0.727,0.3,1.8,2.0,1.5,0.0,0.5,1.3,3.0,9.3,0.25,0.04878048780487805,640.09,86.49000000000001,2.3900750710644454,
isaiahthomas,Isaiah Thomas,535,PG,32,DAL,1,0,13.0,3.0,8.0,0.375,0.0,3.0,0.0,3.0,5.0,0.6,0.375,0.0,0.0,0.765,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.012195121951219513,169.0,36.0,7.3104298063386794,
isaiahthomas,Isaiah Thomas,535,PG,32,CHO,17,0,12.9,3.1,7.1,0.433,1.4,3.4,0.397,1.7,3.6,0.468,0.529,0.8,0.9,0.933,0.2,1.1,1.2,1.4,0.4,0.2,0.6,1.3,8.3,0.0,0.2073170731707317,166.41,68.89000000000001,2.5777320022771475,
mattthomas,Matt Thomas,536,SG,27,CHI,40,0,11.5,1.4,3.4,0.41,0.9,2.3,0.385,0.5,1.1,0.465,0.541,0.4,0.5,0.8,0.1,1.2,1.3,0.5,0.2,0.1,0.2,0.5,4.0,0.0,0.4878048780487805,132.25,16.0,2.2436104402099026,1.669178
klaythompson,Klay Thompson,537,SG,31,GSW,32,32,29.4,7.7,17.9,0.429,3.6,9.3,0.385,4.1,8.7,0.477,0.529,1.4,1.6,0.902,0.5,3.4,3.9,2.8,0.5,0.5,1.3,1.7,20.4,1.0,0.3902439024390244,864.3599999999999,416.15999999999997,22.544587349743225,37.98072
tristanthompson,Tristan Thompson,538,PF,30,TOT,57,6,15.7,2.5,4.7,0.528,0.0,0.1,0.333,2.5,4.6,0.53,0.53,1.1,2.0,0.526,2.1,2.9,5.1,0.6,0.4,0.4,0.8,1.7,6.0,0.10526315789473684,0.6951219512195121,246.48999999999998,36.0,2.305129612963328,9.7209
tristanthompson,Tristan Thompson,538,PF,30,SAC,30,3,15.2,2.5,5.0,0.503,0.0,0.0,1.0,2.5,5.0,0.5,0.507,1.1,2.0,0.533,2.4,3.0,5.4,0.6,0.4,0.4,1.0,1.7,6.2,0.1,0.36585365853658536,231.04,38.440000000000005,-2.0023969400301214,9.7209
